source,task,notes,scene,fixtures,language_instruction,bddl_goal,bddl_objects
libero_90,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",open the top drawer of the cabinet,(And (Open wooden_cabinet_1_top_region),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl at the back on the plate,(And (On akita_black_bowl_3 plate_1),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl at the front on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl in the middle on the plate,(And (On akita_black_bowl_2 plate_1),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the middle black bowl on top of the cabinet,(And (On akita_black_bowl_2 wooden_cabinet_1_top_side),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",stack the black bowl at the front on the black bowl in the middle,(And (On akita_black_bowl_1 akita_black_bowl_2),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",stack the black bowl in the middle on the black bowl at the front,(And (On akita_black_bowl_2 akita_black_bowl_3),akita_black_bowl_1 akita_black_bowl_2 akita_black_bowl_3 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",put the frying pan on the stove,(And (On chefmate_8_frypan_1 flat_stove_1_cook_region),chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot
libero_90,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",put the moka pot on the stove,(And (On moka_pot_1 flat_stove_1_cook_region),chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot
libero_90,KITCHEN_SCENE3_turn_on_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",turn on the stove,(And (Turnon flat_stove_1),chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot
libero_90,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",turn on the stove and put the frying pan on it,(And (Turnon flat_stove_1) (On chefmate_8_frypan_1 flat_stove_1_cook_region),chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot
libero_90,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",close the bottom drawer of the cabinet,(And (Close white_cabinet_1_bottom_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",close the bottom drawer of the cabinet and open the top drawer,(And (Close white_cabinet_1_bottom_region) (Open white_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",put the black bowl in the bottom drawer of the cabinet,(And (In akita_black_bowl_1 white_cabinet_1_bottom_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",put the black bowl on top of the cabinet,(And (On akita_black_bowl_1 white_cabinet_1_top_side),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",put the wine bottle in the bottom drawer of the cabinet,(And (In wine_bottle_1 white_cabinet_1_bottom_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",put the wine bottle on the wine rack,(And (On wine_bottle_1 wine_rack_1_top_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_90,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",close the top drawer of the cabinet,(And (Close white_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate; ketchup_1 - ketchup
libero_90,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",put the black bowl in the top drawer of the cabinet,(And (In akita_black_bowl_1 white_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate; ketchup_1 - ketchup
libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",put the black bowl on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate; ketchup_1 - ketchup
libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",put the black bowl on top of the cabinet,(And (On akita_black_bowl_1 white_cabinet_1_top_side),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate; ketchup_1 - ketchup
libero_90,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",put the ketchup in the top drawer of the cabinet,(And (In ketchup_1 white_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate; ketchup_1 - ketchup
libero_90,KITCHEN_SCENE6_close_the_microwave,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",close the microwave,(And (Close microwave_1),porcelain_mug_1 - porcelain_mug; white_yellow_mug_1 - white_yellow_mug
libero_90,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",put the yellow and white mug to the front of the white mug,(And (On white_yellow_mug_1 kitchen_table_porcelain_mug_front_region),porcelain_mug_1 - porcelain_mug; white_yellow_mug_1 - white_yellow_mug
libero_90,KITCHEN_SCENE7_open_the_microwave,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",open the microwave,(And (Open microwave_1),white_bowl_1 - white_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",put the white bowl on the plate,(And (On white_bowl_1 plate_1),white_bowl_1 - white_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",put the white bowl to the right of the plate,(And (On white_bowl_1 kitchen_table_plate_right_region),white_bowl_1 - white_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",put the right moka pot on the stove,(And (On moka_pot_1 flat_stove_1_cook_region) (Turnon flat_stove_1),moka_pot_1 moka_pot_2 - moka_pot
libero_90,KITCHEN_SCENE8_turn_off_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",turn off the stove,(And (Turnoff flat_stove_1),moka_pot_1 moka_pot_2 - moka_pot
libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",put the frying pan on the cabinet shelf,(And (In chefmate_8_frypan_1 wooden_two_layer_shelf_1_top_region),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",put the frying pan on top of the cabinet,(And (On chefmate_8_frypan_1 wooden_two_layer_shelf_1_top_side),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",put the frying pan under the cabinet shelf,(And (In chefmate_8_frypan_1 wooden_two_layer_shelf_1_bottom_region),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",put the white bowl on top of the cabinet,(And (On white_bowl_1 wooden_two_layer_shelf_1_top_side),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,KITCHEN_SCENE9_turn_on_the_stove,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",turn on the stove,(And (Turnon flat_stove_1),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",turn on the stove and put the frying pan on it,(And (Turnon flat_stove_1) (On chefmate_8_frypan_1 flat_stove_1_cook_region),white_bowl_1 - white_bowl; chefmate_8_frypan_1 - chefmate_8_frypan
libero_90,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the alphabet soup and put it in the basket,(And (In alphabet_soup_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; basket_1 - basket
libero_90,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the cream cheese box and put it in the basket,(And (In cream_cheese_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; basket_1 - basket
libero_90,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the ketchup and put it in the basket,(And (In ketchup_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; basket_1 - basket
libero_90,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the tomato sauce and put it in the basket,(And (In tomato_sauce_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; basket_1 - basket
libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the alphabet soup and put it in the basket,(And (In alphabet_soup_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket
libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the butter and put it in the basket,(And (In butter_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket
libero_90,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the milk and put it in the basket,(And (In milk_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket
libero_90,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the orange juice and put it in the basket,(And (In orange_juice_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket
libero_90,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the tomato sauce and put it in the basket,(And (In tomato_sauce_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket
libero_90,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the alphabet soup and put it in the tray,(And (In alphabet_soup_1 wooden_tray_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; butter_1 - butter; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the butter and put it in the tray,(And (In butter_1 wooden_tray_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; butter_1 - butter; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the cream cheese and put it in the tray,(And (In cream_cheese_1 wooden_tray_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; butter_1 - butter; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the ketchup and put it in the tray,(And (In ketchup_1 wooden_tray_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; butter_1 - butter; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the tomato sauce and put it in the tray,(And (In tomato_sauce_1 wooden_tray_1_contain_region),alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; butter_1 - butter; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the black bowl on the left and put it in the tray,(And (In akita_black_bowl_1 wooden_tray_1_contain_region),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; new_salad_dressing_1 - new_salad_dressing; chocolate_pudding_1 - chocolate_pudding; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the chocolate pudding and put it in the tray,(And (In chocolate_pudding_1 wooden_tray_1_contain_region),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; new_salad_dressing_1 - new_salad_dressing; chocolate_pudding_1 - chocolate_pudding; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),pick up the salad dressing and put it in the tray,(And (In new_salad_dressing_1 wooden_tray_1_contain_region),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; new_salad_dressing_1 - new_salad_dressing; chocolate_pudding_1 - chocolate_pudding; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),stack the left bowl on the right bowl and place them in the tray,(And (On akita_black_bowl_1 akita_black_bowl_2) (In akita_black_bowl_2 wooden_tray_1_contain_region),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; new_salad_dressing_1 - new_salad_dressing; chocolate_pudding_1 - chocolate_pudding; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,L90 Base Task,Living Room,living_room_table (living_room_table),stack the right bowl on the left bowl and place them in the tray,(And (On akita_black_bowl_2 akita_black_bowl_1) (In akita_black_bowl_1 wooden_tray_1_contain_region),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; new_salad_dressing_1 - new_salad_dressing; chocolate_pudding_1 - chocolate_pudding; wooden_tray_1 - wooden_tray
libero_90,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the red mug on the left plate,(And (On red_coffee_mug_1 plate_1),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; white_yellow_mug_1 - white_yellow_mug; plate_1 plate_2 - plate
libero_90,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the red mug on the right plate,(And (On red_coffee_mug_1 plate_2),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; white_yellow_mug_1 - white_yellow_mug; plate_1 plate_2 - plate
libero_90,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the white mug on the left plate,(And (On porcelain_mug_1 plate_1),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; white_yellow_mug_1 - white_yellow_mug; plate_1 plate_2 - plate
libero_90,LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the yellow and white mug on the right plate,(And (On white_yellow_mug_1 plate_2),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; white_yellow_mug_1 - white_yellow_mug; plate_1 plate_2 - plate
libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the chocolate pudding to the left of the plate,(And (On chocolate_pudding_1 living_room_table_plate_left_region),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; plate_1 - plate; chocolate_pudding_1 - chocolate_pudding
libero_90,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the chocolate pudding to the right of the plate,(And (On chocolate_pudding_1 living_room_table_plate_right_region),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; plate_1 - plate; chocolate_pudding_1 - chocolate_pudding
libero_90,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the red mug on the plate,(And (On red_coffee_mug_1 plate_1),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; plate_1 - plate; chocolate_pudding_1 - chocolate_pudding
libero_90,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,L90 Base Task,Living Room,living_room_table (living_room_table),put the white mug on the plate,(And (On porcelain_mug_1 plate_1),porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; plate_1 - plate; chocolate_pudding_1 - chocolate_pudding
libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the front compartment of the caddy,(And (In black_book_1 desk_caddy_1_front_contain_region),black_book_1 - black_book; white_yellow_mug_1 - white_yellow_mug
