suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
# Strong Cross-Suite Swaps (Libero-90 -> Libero-Object),,,,,,,
ER-OBJECT,libero_object,pick_up_the_moka_pot_and_place_it_in_the_basket,(In moka_pot_1 basket_1),"moka_pot(L90), basket(L-Obj).",Object Shift: Moka Pot (Kitchen) -> Clean Table.,Object Tabletop,"main_table (table), basket_1 (basket)",libero_object_pick_up_the_moka_pot_and_place_it_in_the_basket
ER-OBJECT,libero_object,pick_up_the_frying_pan_and_place_it_in_the_basket,(In frying_pan_1 basket_1),"frying_pan(L90), basket(L-Obj).",Object Shift: Frying Pan (Kitchen) -> Clean Table.,Object Tabletop,"main_table (table), basket_1 (basket)",libero_object_pick_up_the_frying_pan_and_place_it_in_the_basket
ER-OBJECT,libero_object,pick_up_the_wine_bottle_and_place_it_in_the_basket,(In wine_bottle_1 basket_1),"wine(L90), basket(L-Obj).",Object Shift: Wine Bottle (Kitchen) -> Clean Table.,Object Tabletop,"main_table (table), basket_1 (basket)",libero_object_pick_up_the_wine_bottle_and_place_it_in_the_basket
ER-OBJECT,libero_object,pick_up_the_book_and_place_it_in_the_basket,(In book_1 basket_1),"book(L90), basket(L-Obj).",Object Shift: Book (Study) -> Clean Table.,Object Tabletop,"main_table (table), basket_1 (basket)",libero_object_pick_up_the_book_and_place_it_in_the_basket
ER-OBJECT,libero_object,pick_up_the_white_mug_and_place_it_in_the_basket,(In white_mug_1 basket_1),"white_mug(L90), basket(L-Obj).",Object Shift: White Mug (Living/Study) -> Clean Table.,Object Tabletop,"main_table (table), basket_1 (basket)",libero_object_pick_up_the_white_mug_and_place_it_in_the_basket
# Cross-Domain Swaps (Kitchen <-> Living <-> Study),,,,,,,
ER-OBJECT,KITCHEN SCENE1 put the book on the plate,(On book_1 plate_1),"book(Study), plate(Kitchen).",Domain Shift: Book (Study) -> Kitchen.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE1_put_the_book_on_the_plate
ER-OBJECT,KITCHEN SCENE4 put the red mug in the bottom drawer of the cabinet,(In red_mug_1 bottom_drawer_of_cabinet_1),"red_mug(Study/Living), bottom_drawer(Kitchen).",Domain Shift: Red Mug (Study/Living) -> Kitchen Drawer.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",KITCHEN_SCENE4_put_the_red_mug_in_the_bottom_drawer_of_the_cabinet
ER-OBJECT,LIVING ROOM SCENE5 put the moka pot on the left plate,(On moka_pot_1 left_plate_1),"moka_pot(Kitchen), plate(Living).",Domain Shift: Moka Pot (Kitchen) -> Living Room.,Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE5_put_the_moka_pot_on_the_left_plate
ER-OBJECT,LIVING ROOM SCENE6 put the frying pan to the right of the plate,(On frying_pan_1 region_right_of_plate_1),"frying_pan(Kitchen), plate(Living).",Domain Shift: Frying Pan (Kitchen) -> Living Room.,Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE6_put_the_frying_pan_to_the_right_of_the_plate
ER-OBJECT,STUDY SCENE3 pick up the black bowl and place it to the right of the caddy,(On black_bowl_1 right_of_caddy_region),"black_bowl(Kitchen/Spatial), caddy(Study).",Domain Shift: Black Bowl (Kitchen) -> Study Desk.,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",STUDY_SCENE3_pick_up_the_black_bowl_and_place_it_to_the_right_of_the_caddy
ER-OBJECT,STUDY SCENE4 pick up the wine bottle and place it on the cabinet shelf,(On wine_bottle_1 cabinet_shelf_1),"wine(Kitchen), shelf(Study).",Domain Shift: Wine Bottle (Kitchen) -> Study Shelf.,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",STUDY_SCENE4_pick_up_the_wine_bottle_and_place_it_on_the_cabinet_shelf
