suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-SPATIAL,LIVING ROOM SCENE5 put the yellow and white mug on the left plate,(On LIVING_ROOM_SCENE5_yellow_and_white_mug_1 left_plate_1),"yellow_mug(L90), left_plate(L90: white_mug).",putting yellow mug (usually right) on left plate.,Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_left_plate
ER-SPATIAL,LIVING ROOM SCENE6 put the red mug to the left of the plate,(On red_mug_1 left_of_plate_region),"red_mug(L90), left_of(L90: pudding).",placing mug to the left (usually on plate).,Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE6_put_the_red_mug_to_the_left_of_the_plate
ER-SPATIAL,KITCHEN SCENE4 put the white mug in the top drawer of the cabinet,(In KITCHEN_SCENE4_white_mug_1 top_drawer_of_cabinet_1),"white_mug(L90-SCENE6), top_drawer(L90).",putting mug in top drawer (replacing wine bottle logic).,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",KITCHEN_SCENE4_put_the_white_mug_in_the_top_drawer_of_the_cabinet
ER-SPATIAL,KITCHEN SCENE5 put the tomato sauce in the top drawer of the cabinet,(In KITCHEN_SCENE5_tomato_sauce_1 top_drawer_of_cabinet_1),"tomato(L90), top_drawer(L90).",putting tomato sauce (usually basket/tray) in drawer.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE5_put_the_tomato_sauce_in_the_top_drawer_of_the_cabinet
ER-SPATIAL,KITCHEN SCENE10 put the black bowl in the bottom drawer of the cabinet,(In KITCHEN_SCENE10_black_bowl_1 bottom_drawer_of_cabinet_1),"black_bowl(L90), bottom_drawer(L90).",bowl in bottom drawer (SCENE10 usually top drawer tasks).,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE10_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet
ER-SPATIAL,STUDY SCENE1 pick up the book and place it in the back compartment of the caddy,(In book_1 caddy_back_compartment),"book(L90), back_compartment(L90-SCENE2).",placing in back compartment in SCENE1 (trained on front/left/right).,Study,"study_table (study_table), caddy_1 (caddy)",STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
ER-SPATIAL,STUDY SCENE2 pick up the book on the right of the red mug and place it in the back compartment of the caddy,(In book_1 caddy_back_compartment),"book(L90), red_mug(L90-SCENE3), back_compartment(L90).",referencing book by relation to mug.,Study,"study_table (study_table), caddy_1 (caddy)",STUDY_SCENE2_pick_up_the_book_on_the_right_of_the_red_mug_and_place_it_in_the_back_compartment_of_the_caddy
ER-SPATIAL,STUDY SCENE3 pick up the book and place it in the back compartment of the caddy,(In book_1 caddy_back_compartment),"book(L90), back_compartment(L90).",placing in back compartment in SCENE3 (trained on front/left/right).,Study,"study_table (study_table), caddy_1 (caddy)",STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
ER-SPATIAL,STUDY SCENE1 pick up the book on the left of the yellow and white mug and place it in the front compartment of the caddy,(In red_mug_1 caddy_front_compartment),"book(L90), yellow_mug(L90), front_compartment(L90).",referencing book by relation to mug.,Study,"study_table (study_table), caddy_1 (caddy)",STUDY_SCENE1_pick_up_the_book_on_the_left_of_the_yellow_and_white_mug_and_place_it_in_the_front_compartment_of_the_caddy
ER-SPATIAL,pick up the black bowl on the right of the plate and place it on the plate,(On tomato_sauce_1 right_of_plate_region),"right_of(L90), plate(L90).",querying object by relative position.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_on_the_right_of_the_plate_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl on the left of the cookie box and place it on the plate,(On black_bowl_1 plate_1),"left_of(L90), cookie_box(L-Spatial).",querying relative to novel landmark.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_on_the_left_of_the_cookie_box_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl in front of the ramekin and place it on the plate,(On black_bowl_1 plate_1),"front(L90), ramekin(L-Spatial).",querying relative to novel landmark.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_in_front_of_the_ramekin_and_place_it_on_the_plate
ER-SPATIAL,KITCHEN SCENE2 stack the black bowl at the back on the black bowl at the front,(On black_bowl_back black_bowl_front),back/front(L90).,Reversing standard stack order (usually front on middle/back).,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE2_stack_the_black_bowl_at_the_back_on_the_black_bowl_at_the_front
ER-SPATIAL,STUDY SCENE4 pick up the book on the left and place it under the cabinet shelf,(On white_mug_1 cabinet_shelf_1),"left_book(L90), under_shelf(L90).",novel combination (usually right book goes under).,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_under_the_cabinet_shelf
