suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-GOAL,put the tomato sauce on the plate,(On tomato_sauce_1 plate_1),"tomato(L90/L-Obj), plate(L90).",novel placement.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_tomato_sauce_on_the_plate
ER-GOAL,put the chocolate pudding on the plate,(On chocolate_pudding_1 plate_1),"pudding(L90/L-Obj), plate(L90).",novel placement.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_chocolate_pudding_on_the_plate
ER-GOAL,put the salad dressing on the plate,(On salad_dressing_1 plate_1),"dressing(L90/L-Obj), plate(L90).",novel placement.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_salad_dressing_on_the_plate
ER-GOAL,put the bowl on the stove,(On bowl_1 stove_1),"bowl(L90), stove(L-Goal: turn_on/L90).",novel surface for bowl (usually on plate/cabinet/stack).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_bowl_on_the_stove
ER-GOAL,put the wine bottle on top of the cabinet,(On wine_bottle_1 top_of_cabinet_1),"wine(L90), cabinet_top(L90: put_bowl_top).",novel placement for wine (usually in rack/drawer).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_wine_bottle_on_top_of_the_cabinet
ER-GOAL,put the moka pot in the middle drawer of the cabinet,(In moka_pot_1 middle_drawer_of_cabinet_1),"moka_pot(L90), middle_drawer(L-Goal).",novel container for moka pot.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_moka_pot_in_the_middle_drawer_of_the_cabinet
ER-GOAL,put the frying pan on the plate,(On frying_pan_1 plate_1),"frying_pan(L90), plate(L90/Goal).",novel surface for pan (usually stove/shelf).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_frying_pan_on_the_plate
ER-GOAL,put the white bowl on the stove,(On white_bowl_1 stove_1),"white_bowl(L90), stove(L90/Goal).",novel surface for white bowl.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_white_bowl_on_the_stove
ER-GOAL,put the alphabet soup on the plate,(On alphabet_soup_1 plate_1),"soup(L-Obj), plate(L90/Goal).",novel surface for soup box.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_alphabet_soup_on_the_plate
ER-GOAL,put the cream cheese on the stove,(On cream_cheese_1 stove_1),"cream(L-Obj/L90), stove(L90/Goal).",novel surface for cream cheese.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_cream_cheese_on_the_stove
ER-GOAL,put the ketchup on the stove,(On ketchup_1 stove_1),"ketchup(L-Obj/L90), stove(L90/Goal).",novel surface for ketchup.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_ketchup_on_the_stove
ER-GOAL,put the butter on top of the cabinet,(On butter_1 top_of_cabinet_1),"butter(L90), cabinet_top(L90).",novel placement for butter.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_butter_on_top_of_the_cabinet
ER-GOAL,put the chocolate pudding on top of the cabinet,(On chocolate_pudding_1 top_of_cabinet_1),"pudding(L90), cabinet_top(L90).",novel placement for pudding.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_chocolate_pudding_on_top_of_the_cabinet
