suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-SEQUENTIAL,put both ketchup and chocolate pudding in basket,(And (In ketchup_1 basket_1) (In chocolate_pudding_1 basket_1)),"ketchup(L-Obj), pudding(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_ketchup_and_chocolate_pudding_in_basket
ER-SEQUENTIAL,put both milk and butter in basket,(And (In milk_1 basket_1) (In butter_1 basket_1)),"milk(L-Obj), butter(L-Obj). Replaced OJ for fit.",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_milk_and_butter_in_basket
ER-SEQUENTIAL,put both orange juice and ketchup in basket,(And (In orange_juice_1 basket_1) (In ketchup_1 basket_1)),"OJ(L-Obj), ketchup(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_orange_juice_and_ketchup_in_basket
ER-SEQUENTIAL,put both tomato sauce and salad dressing in basket,(And (In tomato_sauce_1 basket_1) (In salad_dressing_1 basket_1)),"tomato(L-Obj), dressing(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_tomato_sauce_and_salad_dressing_in_basket
ER-SEQUENTIAL,put both bbq sauce and alphabet soup in basket,(And (In bbq_sauce_1 basket_1) (In alphabet_soup_1 basket_1)),"bbq(L-Obj), soup(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_bbq_sauce_and_alphabet_soup_in_basket
ER-SEQUENTIAL,KITCHEN SCENE4 open the top drawer and put the white mug in it,(In KITCHEN_SCENE4_open_the_top_drawer_and_white_mug_1 it_1),"open(L90), top_drawer(L90), white_mug(L90-SCENE6).",mug in drawer (L90 puts mug on plate/caddy).,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",KITCHEN_SCENE4_open_the_top_drawer_and_put_the_white_mug_in_it
ER-SEQUENTIAL,KITCHEN SCENE7 open the microwave and put the bowl in it,(In KITCHEN_SCENE7_open_the_microwave_and_bowl_1 it_1),"open_microwave(L90), bowl(L90).",bowl in microwave (L90 puts mug in microwave).,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",KITCHEN_SCENE7_open_the_microwave_and_put_the_bowl_in_it
ER-SEQUENTIAL,KITCHEN SCENE5 close the top drawer and put the bowl on the cabinet,(On KITCHEN_SCENE5_close_the_top_drawer_and_bowl_1 cabinet_1),"close(L90), bowl(L90), cabinet(L90).",combining close with place on cabinet for bowl.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE5_close_the_top_drawer_and_put_the_bowl_on_the_cabinet
ER-SEQUENTIAL,KITCHEN SCENE7 close the microwave and put the bowl on the plate,(On KITCHEN_SCENE7_close_the_microwave_and_bowl_1 plate_1),"close_microwave(L90), bowl(L90), plate(L90).",novel sequence binding.,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",KITCHEN_SCENE7_close_the_microwave_and_put_the_bowl_on_the_plate
ER-SEQUENTIAL,KITCHEN SCENE3 turn off the stove and put the frying pan on it,(On KITCHEN_SCENE3_turn_off_the_stove_and_frying_pan_1 it_1),"turn_off(L90), frying_pan(L90).",binding turn_off with pan placement.,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",KITCHEN_SCENE3_turn_off_the_stove_and_put_the_frying_pan_on_it
ER-SEQUENTIAL,KITCHEN SCENE9 turn off the stove and put the bowl on it,(On KITCHEN_SCENE9_turn_off_the_stove_and_bowl_1 it_1),"turn_off(L90), bowl(L90).",binding turn_off with bowl placement.,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE9_turn_off_the_stove_and_put_the_bowl_on_it
ER-SEQUENTIAL,KITCHEN SCENE2 stack the white bowl on the black bowl,MANUAL_CHECK_NEEDED,"stack(L90: black_bowls), white_bowl(L90).",stacking white bowl (usually placed alone).,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE2_stack_the_white_bowl_on_the_black_bowl
ER-SEQUENTIAL,LIVING ROOM SCENE4 stack the white bowl on the black bowl and place in tray,MANUAL_CHECK_NEEDED,"stack(L90), white_bowl(L90), tray(L90).",complex stack+transport with novel object.,Living Room,"living_room_table (living_room_table), wooden_tray_1 (wooden_tray)",LIVING_ROOM_SCENE4_stack_the_white_bowl_on_the_black_bowl_and_place_in_tray
